model,real,fake,accuracy,roc_auc_score,log_loss
CVPRW2019_Face_Artifacts,real_fulls,wany_853175,0.7295,0.7861475,1.1396702195660986
CVPRW2019_Face_Artifacts,real_fulls,ctmiu_853213,0.2765,0.14209349999999998,3.9143065176527156
headpose_forensic,real_fulls,smartz_849705,0.491,0.47351600000000005,1.5894941747166502
headpose_forensic,real_fulls,joshhu_853266,0.5245,0.521731,1.5490261434306547
headpose_forensic,real_fulls,yuejiang_852934,0.5805,0.610545,1.4659512236842671
headpose_forensic,real_fulls,yangquanwei_852303,0.499,0.488407,1.5951170832691104
headpose_forensic,real_fulls,miaotao_853000,0.515,0.499184,1.569441507618813
headpose_forensic,real_fulls,nbhh_853436,0.5395,0.576793,1.5036859409867984
headpose_forensic,real_fulls,seanseattle_853068,0.5315,0.53525,1.5343842618490444
headpose_forensic,real_fulls,DFischerHDA_852673,0.516,0.511682,1.5668683911868768
headpose_forensic,real_fulls,DFGC_SYSU_852924,0.517,0.525432,1.5542526893904023
headpose_forensic,real_fulls,fake_baseline,0.5205,0.541153,1.5423298996121488
headpose_forensic,real_fulls,zhaobh_852336,0.5065,0.48618300000000003,1.5766797597965037
headpose_forensic,real_fulls,lowtec_853184,0.507,0.48717699999999997,1.5756564185131021
headpose_forensic,real_fulls,yZzzzzz_849853,0.5235,0.531932,1.5415102614419651
headpose_forensic,real_fulls,jerryHUST_853638,0.533,0.5176019999999999,1.5433393211171158
headpose_forensic,real_fulls,zz110_853170,0.519,0.5059400000000001,1.5648108057888546
headpose_forensic,real_fulls,wany_853175,0.5075,0.5150990000000001,1.5624834908034262
headpose_forensic,real_fulls,ctmiu_853213,0.5055,0.49206400000000006,1.576977926825009
